name,dex_num,date,shiny,costume,event,form,location,Lat,type_1,type_2,box,size,evolved,traded,hatched,research,Shadow
mawile,303,01/19/2018,TRUE,,n/a,,,,Steel,Fairy,pogo,,FALSE,FALSE,FALSE,,
pikachu,25,01/20/2018,TRUE,,Community Day,,,,Electric,,pogo,,FALSE,FALSE,FALSE,,
raichu,26,01/20/2018,TRUE,,Community Day,,,,Electric,,pogo,,TRUE,FALSE,FALSE,,
pikachu,25,01/20/2018,TRUE,,Community Day,,,,Electric,,pogo,,FALSE,FALSE,FALSE,,
pikachu,25,01/20/2018,TRUE,,Community Day,,,,Electric,,pogo,,FALSE,FALSE,FALSE,,
raichu,26,01/20/2018,TRUE,,Community Day,,,,Electric,,pogo,,FALSE,FALSE,FALSE,,
pikachu,25,01/20/2018,TRUE,,Community Day,,,,Electric,,pogo,,FALSE,FALSE,FALSE,,
pikachu,25,01/20/2018,TRUE,,Community Day,,,,Electric,,pogo,,FALSE,FALSE,FALSE,,
glalie,362,02/11/2018,TRUE,,n/a,,,,Ice,,pogo,,TRUE,FALSE,FALSE,,
luvdisc,370,02/13/2018,TRUE,,n/a,,,,Water,,pogo,,FALSE,FALSE,FALSE,,
luvdisc,370,02/13/2018,TRUE,,n/a,,,,Water,,pogo,,FALSE,FALSE,FALSE,,
poochyena,261,02/16/2018,TRUE,,n/a,,,,Dark,,pogo,,FALSE,FALSE,FALSE,,
dragonite,149,02/23/2018,TRUE,,n/a,Pseudo Legendary,,,Dragon,Flying,pogo,,TRUE,FALSE,FALSE,,
dragonair,148,02/23/2018,TRUE,,n/a,Pseudo Legendary,,,Dragon,,pogo,,TRUE,FALSE,FALSE,,
dragonite,149,02/23/2018,TRUE,,n/a,Pseudo Legendary,,,Dragon,Flying,pogo,,TRUE,FALSE,FALSE,,
dratini,147,02/23/2018,TRUE,,n/a,Pseudo Legendary,,,Dragon,,pogo,,FALSE,FALSE,FALSE,,
aggron,306,03/08/2018,TRUE,,n/a,,,,Steel,Rock,pogo,,TRUE,FALSE,FALSE,,
lugia,249,03/17/2018,TRUE,,n/a,Legendary,,,Psychic,Flying,pogo,,FALSE,FALSE,FALSE,,
lugia,249,03/17/2018,TRUE,,n/a,Legendary,,,Psychic,Flying,pogo,,FALSE,FALSE,FALSE,,
lugia,249,03/17/2018,TRUE,,n/a,Legendary,,,Psychic,Flying,pogo,,FALSE,FALSE,FALSE,,
froslass,478,03/21/2018,TRUE,,n/a,,,,Ice,Ghost,pogo,,TRUE,FALSE,FALSE,,
venusaur,3,03/24/2018,TRUE,,Community Day,Starter,,,Grass,Poison,pogo,,TRUE,FALSE,FALSE,,
bulbasaur,1,03/25/2018,TRUE,,Community Day,Starter,,,Grass,Poison,pogo,,FALSE,FALSE,FALSE,,
